
Host: QUADRAXIS

Timers On : Tue Apr 13 15:41:17 2021
Timers Off: Tue Apr 13 15:46:54 2021

Wall Time:      336.87 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| PK computes JK                    :      0.000u      0.000s      0.000w      1 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      1 calls
V: Grid                             :      0.517u      0.033s      0.029w      1 calls

**************************************************************************************

Host: QUADRAXIS

Timers On : Tue Apr 13 16:04:20 2021
Timers Off: Tue Apr 13 16:04:26 2021

Wall Time:        5.73 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      1.633u      0.100s      0.229w      2 calls
Libint2ERI::Libint2ERI              :      2.733u      0.250s      0.286w     38 calls
HF: Form core H                     :      1.383u      0.100s      0.078w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.003w      1 calls
HF: Guess                           :      0.133u      0.000s      0.007w      1 calls
HF: Form G                          :      0.083u      0.000s      0.004w     11 calls
JK: D                               :      0.000u      0.000s      0.000w     12 calls
JK: USO2AO                          :      0.017u      0.000s      0.000w     12 calls
JK: JK                              :      0.050u      0.000s      0.003w     12 calls
PK computes JK                      :      0.050u      0.000s      0.003w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.517u      0.000s      0.027w     11 calls
HF: DIIS                            :      1.800u      0.050s      0.097w     11 calls
DIISManager::add_entry              :      0.333u      0.000s      0.018w     11 calls
DIISManager::extrapolate            :      0.050u      0.000s      0.003w     11 calls
bMatrix setup                       :      0.033u      0.000s      0.001w     11 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.001w     11 calls
New vector                          :      0.000u      0.000s      0.001w     11 calls
HF: Form C                          :      0.033u      0.017s      0.003w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
CIWave: CIvect write                :      0.017u      0.000s      0.005w     54 calls
CIWave: CIvect read                 :      0.050u      0.000s      0.008w    271 calls
CIWave: s2                          :      7.533u      0.167s      0.889w     77 calls
CIWave: s3                          :      5.000u      0.183s      0.554w    126 calls
CIWave: s3_mt                       :      2.233u      0.083s      0.272w   2800 calls
CIWave: s1                          :      0.000u      0.000s      0.001w     63 calls
CIWave: opdm                        :      0.150u      0.017s      0.016w      1 calls
V: Grid                             :      0.567u      0.000s      0.029w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      1.633u      0.100s      0.229w      2 calls
| Libint2ERI::Libint2ERI            :      0.800u      0.083s      0.168w     26 calls
HF: Form core H                     :      1.383u      0.100s      0.078w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.003w      1 calls
HF: Guess                           :      0.133u      0.000s      0.007w      1 calls
HF: Form G                          :      0.083u      0.000s      0.004w     11 calls
| JK: D                             :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.017u      0.000s      0.000w     11 calls
| JK: JK                            :      0.050u      0.000s      0.003w     11 calls
| | PK computes JK                  :      0.050u      0.000s      0.003w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.517u      0.000s      0.027w     11 calls
HF: DIIS                            :      1.800u      0.050s      0.097w     11 calls
| DIISManager::add_entry            :      0.333u      0.000s      0.018w     11 calls
| DIISManager::extrapolate          :      0.050u      0.000s      0.003w     11 calls
| | bMatrix setup                   :      0.033u      0.000s      0.001w     11 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.001w     11 calls
| | New vector                      :      0.000u      0.000s      0.001w     11 calls
HF: Form C                          :      0.033u      0.017s      0.003w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
Libint2ERI::Libint2ERI              :      1.933u      0.167s      0.118w     12 calls
CIWave: CIvect write                :      0.017u      0.000s      0.005w     54 calls
CIWave: CIvect read                 :      0.050u      0.000s      0.008w    269 calls
CIWave: s2                          :      7.533u      0.167s      0.889w     77 calls
CIWave: s3                          :      5.000u      0.183s      0.554w    126 calls
| CIWave: s3_mt                     :      2.233u      0.083s      0.272w   2800 calls
CIWave: s1                          :      0.000u      0.000s      0.001w     63 calls
CIWave: opdm                        :      0.150u      0.017s      0.016w      1 calls
| CIWave: CIvect read               :      0.000u      0.000s      0.000w      2 calls
JK: D                               :      0.000u      0.000s      0.000w      1 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      1 calls
JK: JK                              :      0.000u      0.000s      0.000w      1 calls
| PK computes JK                    :      0.000u      0.000s      0.000w      1 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      1 calls
V: Grid                             :      0.567u      0.000s      0.029w      1 calls

**************************************************************************************

Host: QUADRAXIS

Timers On : Tue Apr 13 16:04:57 2021
Timers Off: Tue Apr 13 16:09:56 2021

Wall Time:      299.44 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     80.367u      3.550s      8.555w     10 calls
Libint2ERI::Libint2ERI              :     24.350u      2.517s      5.758w    190 calls
HF: Form core H                     :     17.300u      1.633s      1.132w      5 calls
HF: Form S/X                        :      2.683u      0.183s      0.151w      5 calls
HF: Guess                           :      1.417u      0.100s      0.079w      5 calls
HF: Form G                          :      9.550u      0.667s      0.523w     58 calls
JK: D                               :      0.050u      0.017s      0.003w     63 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     63 calls
JK: JK                              :      9.500u      0.633s      0.519w     63 calls
PK computes JK                      :      9.483u      0.633s      0.519w     63 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     63 calls
HF: Form F                          :      5.267u      0.617s      0.291w     58 calls
HF: DIIS                            :     20.133u      1.783s      1.134w     58 calls
DIISManager::add_entry              :      3.933u      0.300s      0.237w     58 calls
DIISManager::extrapolate            :      1.717u      0.167s      0.096w     58 calls
bMatrix setup                       :      0.967u      0.100s      0.052w     58 calls
bMatrix pseudoinverse               :      0.183u      0.000s      0.009w     58 calls
New vector                          :      0.483u      0.067s      0.033w     58 calls
HF: Form C                          :     11.983u      0.850s      0.672w     58 calls
HF: Form D                          :      0.083u      0.000s      0.002w     58 calls
CIWave: CIvect write                :      0.667u      0.117s      0.116w    270 calls
CIWave: CIvect read                 :      1.717u      0.317s      0.217w   1355 calls
CIWave: s2                          :    311.467u      0.817s    174.376w    385 calls
CIWave: s3                          :    156.550u      1.317s     74.232w    630 calls
CIWave: s3_mt                       :     93.800u      0.750s     45.135w  29960 calls
CIWave: s1                          :      0.167u      0.000s      0.025w    315 calls
CIWave: opdm                        :      5.317u      0.167s      0.770w      5 calls
V: Grid                             :      1.883u      0.117s      0.108w      5 calls

